Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2003,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
31500,OTHER,,"269,112","$30,190,275.74 ","$23,934,505.85 "
,TOTAL,,"269,112","$30,190,275.74 ","$23,934,505.85 "
31502,OTHER,,"16,536","$802,170.30 ","$621,527.66 "
,TOTAL,,"16,536","$802,170.30 ","$621,527.66 "
31505,OTHER,,"23,909","$1,176,492.26 ","$887,073.56 "
,TOTAL,,"23,909","$1,176,492.26 ","$887,073.56 "
31510,SG,,26,"$10,841.72 ","$8,673.39 "
,80'S,,1,$19.35 ,$15.48 
,OTHER,,186,"$17,869.87 ","$13,988.45 "
,TOTAL,,213,"$28,730.94 ","$22,677.32 "
31511,OTHER,,277,"$41,049.98 ","$32,298.10 "
,TOTAL,,277,"$41,049.98 ","$32,298.10 "
31512,SG,,8,"$3,333.54 ","$2,666.84 "
,OTHER,,20,"$2,651.73 ","$2,121.37 "
,TOTAL,,28,"$5,985.27 ","$4,788.21 "
31513,SG,,17,"$7,718.89 ","$6,041.22 "
,OTHER,,728,"$87,350.16 ","$66,796.54 "
,TOTAL,,745,"$95,069.05 ","$72,837.76 "
31515,SG,,41,"$10,354.18 ","$8,272.42 "
,OTHER,,"2,090","$230,930.96 ","$180,188.06 "
,TOTAL,,"2,131","$241,285.14 ","$188,460.48 "
31520,OTHER,,39,"$4,190.02 ","$3,352.01 "
,TOTAL,,39,"$4,190.02 ","$3,352.01 "
31525,SG,,306,"$76,809.60 ","$61,107.95 "
,OTHER,,"13,005","$2,054,367.05 ","$1,616,090.44 "
,TOTAL,,"13,311","$2,131,176.65 ","$1,677,198.39 "
31526,SG,,151,"$60,657.78 ","$47,451.38 "
,OTHER,,"1,589","$211,547.78 ","$167,367.49 "
,TOTAL,,"1,740","$272,205.56 ","$214,818.87 "
31527,SG,,1,$162.35 ,$129.88 
,OTHER,,31,"$5,212.49 ","$4,169.99 "
,TOTAL,,32,"$5,374.84 ","$4,299.87 "
31528,SG,,16,"$6,378.73 ","$5,103.01 "
,OTHER,,148,"$16,003.70 ","$12,432.33 "
,TOTAL,,164,"$22,382.43 ","$17,535.34 "
31529,SG,,3,$682.17 ,$545.74 
,OTHER,,98,"$11,283.87 ","$8,863.95 "
,TOTAL,,101,"$11,966.04 ","$9,409.69 "
31530,SG,,18,"$7,047.51 ","$5,616.54 "
,OTHER,,385,"$69,430.39 ","$54,201.65 "
,TOTAL,,403,"$76,477.90 ","$59,818.19 "
31531,SG,,20,"$9,189.17 ","$7,191.35 "
,OTHER,,118,"$22,941.38 ","$18,092.35 "
,TOTAL,,138,"$32,130.55 ","$25,283.70 "
31535,SG,,917,"$385,477.30 ","$304,268.46 "
,OTHER,,"8,287","$1,356,785.88 ","$1,070,246.55 "
,TOTAL,,"9,204","$1,742,263.18 ","$1,374,515.01 "
31536,SG,,"1,159","$572,544.55 ","$453,285.11 "
,OTHER,,"7,445","$1,480,616.70 ","$1,165,696.00 "
,TOTAL,,"8,604","$2,053,161.25 ","$1,618,981.11 "
31540,SG,,262,"$128,279.11 ","$101,734.52 "
,OTHER,,"1,146","$267,308.49 ","$210,779.37 "
,TOTAL,,"1,408","$395,587.60 ","$312,513.89 "
31541,SG,,"1,404","$865,733.13 ","$681,900.65 "
,OTHER,,"10,754","$2,826,142.20 ","$2,222,237.04 "
,TOTAL,,"12,158","$3,691,875.33 ","$2,904,137.69 "
31560,SG,,2,"$1,523.24 ","$1,218.59 "
,OTHER,,32,"$8,242.12 ","$6,593.70 "
,TOTAL,,34,"$9,765.36 ","$7,812.29 "
31561,SG,,1,$697.78 ,$558.22 
,OTHER,,185,"$61,963.25 ","$49,103.08 "
,TOTAL,,186,"$62,661.03 ","$49,661.30 "
31570,SG,,50,"$21,010.13 ","$16,656.02 "
,OTHER,,"1,979","$504,076.81 ","$389,035.69 "
,TOTAL,,"2,029","$525,086.94 ","$405,691.71 "
31571,SG,,133,"$52,074.35 ","$40,623.06 "
,OTHER,,"1,118","$248,322.86 ","$196,628.57 "
,TOTAL,,"1,251","$300,397.21 ","$237,251.63 "
31575,OTHER,,"474,988","$52,932,539.07 ","$40,703,199.38 "
,TOTAL,,"474,988","$52,932,539.07 ","$40,703,199.38 "
31576,SG,,23,"$9,880.15 ","$7,904.13 "
,OTHER,,430,"$55,470.22 ","$43,505.76 "
,TOTAL,,453,"$65,350.37 ","$51,409.89 "
31577,OTHER,,169,"$27,822.56 ","$21,326.87 "
,TOTAL,,169,"$27,822.56 ","$21,326.87 "
31578,SG,,15,"$6,310.41 ","$5,048.34 "
,OTHER,,96,"$17,061.95 ","$13,388.47 "
,TOTAL,,111,"$23,372.36 ","$18,436.81 "
31579,OTHER,,"19,785","$3,702,332.18 ","$2,868,944.74 "
,TOTAL,,"19,785","$3,702,332.18 ","$2,868,944.74 "
31580,SG,,1,$733.85 ,$587.08 
,80'S,,4,$661.07 ,$528.85 
,OTHER,,45,"$35,952.32 ","$28,668.36 "
,TOTAL,,50,"$37,347.24 ","$29,784.29 "
31582,SG,,4,"$2,882.54 ","$2,306.04 "
,OTHER,,140,"$198,700.76 ","$156,870.34 "
,TOTAL,,144,"$201,583.30 ","$159,176.38 "
31584,80'S,,4,$977.83 ,$782.26 
,OTHER,,14,"$19,725.31 ","$15,000.73 "
,TOTAL,,18,"$20,703.14 ","$15,782.99 "
31585,OTHER,,5,"$1,945.75 ","$1,358.54 "
,TOTAL,,5,"$1,945.75 ","$1,358.54 "
31586,OTHER,,5,"$3,569.14 ","$2,855.31 "
,TOTAL,,5,"$3,569.14 ","$2,855.31 "
31587,80'S,,1,$146.82 ,$117.46 
,OTHER,,27,"$24,182.66 ","$18,690.51 "
,TOTAL,,28,"$24,329.48 ","$18,807.97 "
31588,SG,,68,"$47,778.21 ","$37,339.21 "
,80'S,,125,"$22,313.28 ","$17,525.78 "
,OTHER,,"1,310","$1,427,396.24 ","$1,129,213.76 "
,TOTAL,,"1,503","$1,497,487.73 ","$1,184,078.75 "
31590,80'S,,3,$194.42 ,$155.53 
,OTHER,,23,"$13,853.52 ","$10,934.74 "
,TOTAL,,26,"$14,047.94 ","$11,090.27 "
31595,SG,,1,$476.90 ,$381.52 
,80'S,,1,$60.53 ,$48.42 
,OTHER,,25,"$14,100.86 ","$11,128.82 "
,TOTAL,,27,"$14,638.29 ","$11,558.76 "
31599,80'S,,20,"$2,710.47 ","$2,168.40 "
,OTHER,,513,"$223,586.78 ","$175,728.05 "
,TOTAL,,533,"$226,297.25 ","$177,896.45 "
31600,SG,,6,"$2,027.90 ","$1,585.89 "
,80'S,,4,$603.96 ,$483.17 
,OTHER,,"42,812","$15,770,717.59 ","$12,550,117.76 "
,TOTAL,,"42,822","$15,773,349.45 ","$12,552,186.82 "
31601,80'S,,2,$83.29 ,$66.63 
,OTHER,,28,"$7,183.65 ","$5,466.74 "
,TOTAL,,30,"$7,266.94 ","$5,533.37 "
31603,OTHER,,"2,459","$527,285.09 ","$419,140.54 "
,TOTAL,,"2,459","$527,285.09 ","$419,140.54 "
31605,OTHER,,399,"$70,014.57 ","$55,349.28 "
