MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,TOTAL,,200,"$40,840.48 ","$32,228.38 "
31535,SG,,968,"$405,454.66 ","$319,605.19 "
,OTHER,,"7,729","$1,242,511.72 ","$979,267.14 "
,TOTAL,,"8,697","$1,647,966.38 ","$1,298,872.33 "
31536,SG,,"1,420","$698,849.00 ","$553,342.91 "
,OTHER,,"7,587","$1,461,696.70 ","$1,146,575.80 "
,TOTAL,,"9,007","$2,160,545.70 ","$1,699,918.71 "
31540,SG,,256,"$126,822.74 ","$99,711.38 "
,OTHER,,944,"$211,073.34 ","$164,777.85 "
,TOTAL,,"1,200","$337,896.08 ","$264,489.23 "
31541,SG,,"1,516","$930,422.95 ","$734,002.72 "
,OTHER,,"9,686","$2,416,029.60 ","$1,897,650.66 "
,TOTAL,,"11,202","$3,346,452.55 ","$2,631,653.38 "
31545,SG,,95,"$57,522.53 ","$45,878.83 "
,OTHER,,715,"$249,390.55 ","$196,114.41 "
,TOTAL,,810,"$306,913.08 ","$241,993.24 "
31546,SG,,1,$670.04 ,$536.03 
,OTHER,,24,"$12,268.48 ","$9,808.15 "
,TOTAL,,25,"$12,938.52 ","$10,344.18 "
31560,OTHER,,25,"$6,627.98 ","$5,302.39 "
,TOTAL,,25,"$6,627.98 ","$5,302.39 "
31561,SG,,6,"$4,338.81 ","$3,471.05 "
,OTHER,,155,"$49,178.18 ","$38,915.09 "
,TOTAL,,161,"$53,516.99 ","$42,386.14 "
31570,SG,,95,"$38,735.82 ","$30,859.13 "
,OTHER,,"1,762","$488,072.29 ","$380,920.03 "
,TOTAL,,"1,857","$526,808.11 ","$411,779.16 "
31571,SG,,234,"$93,234.28 ","$73,727.25 "
,OTHER,,"2,179","$476,986.70 ","$376,886.54 "
,TOTAL,,"2,413","$570,220.98 ","$450,613.79 "
31575,OTHER,,"535,055","$56,212,053.48 ","$42,911,016.07 "
,TOTAL,,"535,055","$56,212,053.48 ","$42,911,016.07 "
31576,SG,,23,"$9,670.75 ","$7,639.77 "
,OTHER,,579,"$92,087.10 ","$72,385.46 "
,TOTAL,,602,"$101,757.85 ","$80,025.23 "
31577,SG,,1,$233.04 ,$186.43 
,80'S,,1,$36.81 ,$29.45 
,OTHER,,132,"$24,037.51 ","$18,574.97 "
,TOTAL,,134,"$24,307.36 ","$18,790.85 "
31578,SG,,12,"$5,237.53 ","$4,152.42 "
,OTHER,,169,"$33,909.46 ","$26,421.93 "
,TOTAL,,181,"$39,146.99 ","$30,574.35 "
31579,OTHER,,"36,422","$7,722,927.85 ","$5,991,300.12 "
,TOTAL,,"36,422","$7,722,927.85 ","$5,991,300.12 "
31580,80'S,,1,$82.44 ,$65.95 
,OTHER,,41,"$41,361.00 ","$31,768.79 "
,TOTAL,,42,"$41,443.44 ","$31,834.74 "
31582,SG,,2,"$1,396.51 ","$1,117.21 "
,OTHER,,126,"$189,796.15 ","$150,431.25 "
,TOTAL,,128,"$191,192.66 ","$151,548.46 "
31584,OTHER,,9,"$12,717.25 ","$10,173.80 "
,TOTAL,,9,"$12,717.25 ","$10,173.80 "
31587,OTHER,,24,"$17,263.31 ","$13,769.89 "
,TOTAL,,24,"$17,263.31 ","$13,769.89 "
31588,SG,,76,"$53,874.51 ","$42,628.74 "
,80'S,,96,"$15,827.14 ","$12,451.18 "
,OTHER,,"1,201","$1,201,845.75 ","$951,109.76 "
,TOTAL,,"1,373","$1,271,547.40 ","$1,006,189.68 "
31590,OTHER,,6,"$4,265.60 ","$3,412.48 "
,TOTAL,,6,"$4,265.60 ","$3,412.48 "
31595,OTHER,,42,"$26,215.96 ","$20,867.86 "
,TOTAL,,42,"$26,215.96 ","$20,867.86 "
31599,80'S,,15,"$1,989.75 ","$1,591.80 "
,OTHER,,737,"$286,058.47 ","$225,529.29 "
,TOTAL,,752,"$288,048.22 ","$227,121.09 "
31600,80'S,,6,$371.12 ,$296.90 
,OTHER,,"40,520","$15,068,150.61 ","$11,990,388.14 "
,TOTAL,,"40,526","$15,068,521.73 ","$11,990,685.04 "
31601,OTHER,,11,"$2,825.84 ","$2,242.47 "
,TOTAL,,11,"$2,825.84 ","$2,242.47 "
31603,SG,,3,$502.45 ,$401.96 
,80'S,,1,$33.55 ,$26.84 
,OTHER,,"2,041","$412,305.53 ","$327,860.97 "
,TOTAL,,"2,045","$412,841.53 ","$328,289.77 "
31605,OTHER,,409,"$68,213.60 ","$54,273.66 "
,TOTAL,,409,"$68,213.60 ","$54,273.66 "
31610,OTHER,,"1,683","$1,068,903.24 ","$851,119.68 "
,TOTAL,,"1,683","$1,068,903.24 ","$851,119.68 "
31611,SG,,39,"$19,154.32 ","$15,266.41 "
,80'S,,42,"$1,964.29 ","$1,545.06 "
,OTHER,,887,"$327,944.17 ","$257,567.32 "
,TOTAL,,968,"$349,062.78 ","$274,378.79 "
31612,SG,,5,"$1,464.13 ","$1,171.30 "
,80'S,,1,$3.73 ,$2.98 
,OTHER,,274,"$11,026.34 ","$8,764.77 "
,TOTAL,,280,"$12,494.20 ","$9,939.05 "
31613,SG,,15,"$6,095.44 ","$4,876.38 "
,OTHER,,"1,155","$425,900.56 ","$337,314.80 "
,TOTAL,,"1,170","$431,996.00 ","$342,191.18 "
31614,SG,,17,"$7,288.16 ","$5,830.54 "
,OTHER,,355,"$214,872.83 ","$169,617.46 "
,TOTAL,,372,"$222,160.99 ","$175,448.00 "
31615,SG,,38,"$8,482.83 ","$6,780.93 "
,OTHER,,"10,051","$1,370,494.82 ","$1,069,508.78 "
,TOTAL,,"10,089","$1,378,977.65 ","$1,076,289.71 "
31620,OTHER,,"2,880","$206,494.35 ","$164,182.00 "
,TOTAL,,"2,880","$206,494.35 ","$164,182.00 "
31622,SG,,969,"$254,655.18 ","$200,557.45 "
,80'S,,1,$25.09 ,$20.07 
,OTHER,,"92,239","$11,680,696.40 ","$9,253,278.21 "
,TOTAL,,"93,209","$11,935,376.67 ","$9,453,855.73 "
31623,SG,,458,"$148,844.69 ","$117,511.79 "
,OTHER,,"36,882","$2,279,025.06 ","$1,805,304.17 "
