Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2005,,,,,
Code Ranges - 30000 - 32999,,,,,
,BESS REPORTS, CODE RANGES,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
,OTHER,,521,"$84,661.35 ","$65,985.29 "
,TOTAL,,538,"$91,842.73 ","$71,623.23 "
31577,OTHER,,156,"$31,768.65 ","$25,043.73 "
,TOTAL,,156,"$31,768.65 ","$25,043.73 "
31578,SG,,18,"$7,886.51 ","$6,309.22 "
,OTHER,,122,"$23,026.08 ","$18,195.15 "
,TOTAL,,140,"$30,912.59 ","$24,504.37 "
31579,OTHER,,"27,899","$6,359,746.07 ","$4,948,017.13 "
,TOTAL,,"27,899","$6,359,746.07 ","$4,948,017.13 "
31580,SG,,3,"$2,013.41 ","$1,610.73 "
,80'S,,7,"$1,211.92 ",$969.56 
,OTHER,,48,"$45,850.66 ","$35,965.24 "
,TOTAL,,58,"$49,075.99 ","$38,545.53 "
31582,SG,,1,$679.90 ,$543.92 
,OTHER,,109,"$177,380.94 ","$139,047.15 "
,TOTAL,,110,"$178,060.84 ","$139,591.07 "
31584,80'S,,1,$141.89 ,$113.51 
,OTHER,,17,"$23,763.67 ","$19,010.91 "
,TOTAL,,18,"$23,905.56 ","$19,124.42 "
31586,OTHER,,8,"$6,166.52 ","$4,881.81 "
,TOTAL,,8,"$6,166.52 ","$4,881.81 "
31587,80'S,,4,$470.27 ,$376.22 
,OTHER,,24,"$17,091.04 ","$13,672.83 "
,TOTAL,,28,"$17,561.31 ","$14,049.05 "
31588,SG,,76,"$53,708.74 ","$42,878.96 "
,80'S,,105,"$17,385.59 ","$13,820.55 "
,OTHER,,"1,157","$1,181,280.19 ","$932,586.48 "
,TOTAL,,"1,338","$1,252,374.52 ","$989,285.99 "
31590,80'S,,2,$156.92 ,$83.35 
,OTHER,,13,"$8,290.19 ","$6,606.73 "
,TOTAL,,15,"$8,447.11 ","$6,690.08 "
31595,SG,,1,$367.33 ,$293.86 
,80'S,,1,$65.45 ,$52.36 
,OTHER,,19,"$9,086.55 ","$6,871.90 "
,TOTAL,,21,"$9,519.33 ","$7,218.12 "
31599,80'S,,12,"$1,457.36 ","$1,165.88 "
,OTHER,,678,"$264,391.74 ","$209,633.17 "
,TOTAL,,690,"$265,849.10 ","$210,799.05 "
31600,80'S,,7,$528.23 ,$422.58 
,OTHER,,"44,918","$18,291,233.04 ","$14,544,893.89 "
,TOTAL,,"44,925","$18,291,761.27 ","$14,545,316.47 "
31601,80'S,,2,$91.38 ,$73.10 
,OTHER,,33,"$8,958.63 ","$7,166.92 "
,TOTAL,,35,"$9,050.01 ","$7,240.02 "
31603,OTHER,,"2,521","$560,161.79 ","$443,849.37 "
,TOTAL,,"2,521","$560,161.79 ","$443,849.37 "
31605,OTHER,,437,"$81,087.70 ","$63,816.35 "
,TOTAL,,437,"$81,087.70 ","$63,816.35 "
31610,OTHER,,"1,871","$1,216,836.60 ","$968,498.78 "
,TOTAL,,"1,871","$1,216,836.60 ","$968,498.78 "
31611,SG,,49,"$24,358.57 ","$19,427.34 "
,80'S,,51,"$2,525.94 ","$2,020.67 "
,OTHER,,"1,072","$416,861.87 ","$329,219.72 "
,TOTAL,,"1,172","$443,746.38 ","$350,667.73 "
31612,SG,,5,"$1,642.87 ","$1,314.29 "
,80'S,,1,$7.54 ,$6.03 
,OTHER,,255,"$12,030.93 ","$9,380.76 "
,TOTAL,,261,"$13,681.34 ","$10,701.08 "
31613,SG,,28,"$11,742.17 ","$9,194.17 "
