,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2006,,
,,,Code Ranges 30000 - 32999,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,OTHER,,"9,411","$6,062,998.57 ","$4,777,261.65 "
,TOTAL,,"12,203","$6,875,454.81 ","$5,419,423.85 "
31287,SG,,"1,180","$340,360.77 ","$268,131.40 "
,80'S,,3,$154.56 ,$123.65 
,OTHER,,"4,268","$706,904.38 ","$557,930.96 "
,TOTAL,,"5,451","$1,047,419.71 ","$826,186.01 "
31288,SG,,"1,309","$385,621.23 ","$304,949.93 "
,80'S,,5,$204.10 ,$163.28 
,OTHER,,"4,860","$973,335.48 ","$769,039.88 "
,TOTAL,,"6,174","$1,359,160.81 ","$1,074,153.09 "
31290,80'S,,4,$562.11 ,$449.70 
,OTHER,,118,"$130,011.88 ","$103,460.95 "
,TOTAL,,122,"$130,573.99 ","$103,910.65 "
31291,80'S,,3,$508.98 ,$407.19 
,OTHER,,70,"$80,644.28 ","$62,809.49 "
,TOTAL,,73,"$81,153.26 ","$63,216.68 "
31292,80'S,,1,$238.46 ,$190.77 
,OTHER,,86,"$89,271.64 ","$70,819.79 "
,TOTAL,,87,"$89,510.10 ","$71,010.56 "
31293,80'S,,4,$620.25 ,$496.21 
,OTHER,,71,"$80,774.51 ","$63,989.86 "
,TOTAL,,75,"$81,394.76 ","$64,486.07 "
31294,OTHER,,26,"$31,690.64 ","$25,349.86 "
,TOTAL,,26,"$31,690.64 ","$25,349.86 "
31299,OTHER,,117,"$63,561.02 ","$50,842.29 "
,TOTAL,,117,"$63,561.02 ","$50,842.29 "
31300,SG,,8,"$5,489.70 ","$4,391.75 "
,80'S,,8,"$1,462.25 ","$1,169.81 "
,OTHER,,116,"$126,075.14 ","$98,910.71 "
,TOTAL,,132,"$133,027.09 ","$104,472.27 "
31320,SG,,1,$494.25 ,$395.40 
,OTHER,,7,"$3,143.81 ","$2,515.04 "
,TOTAL,,8,"$3,638.06 ","$2,910.44 "
31360,80'S,,115,"$23,762.51 ","$19,010.02 "
,OTHER,,640,"$781,559.17 ","$622,021.46 "
,TOTAL,,755,"$805,321.68 ","$641,031.48 "
31365,80'S,,68,"$18,328.96 ","$14,611.07 "
,OTHER,,414,"$687,051.87 ","$547,404.80 "
,TOTAL,,482,"$705,380.83 ","$562,015.87 "
31367,80'S,,4,"$1,100.37 ",$880.30 
,OTHER,,85,"$143,101.59 ","$114,423.26 "
,TOTAL,,89,"$144,201.96 ","$115,303.56 "
31368,80'S,,6,"$2,010.01 ","$1,608.00 "
,OTHER,,43,"$86,931.81 ","$69,545.51 "
,TOTAL,,49,"$88,941.82 ","$71,153.51 "
31370,80'S,,3,$845.01 ,$676.01 
,OTHER,,59,"$104,763.39 ","$83,810.77 "
,TOTAL,,62,"$105,608.40 ","$84,486.78 "
31375,80'S,,4,$991.66 ,$793.33 
,OTHER,,51,"$70,488.82 ","$55,935.68 "
,TOTAL,,55,"$71,480.48 ","$56,729.01 "
31380,80'S,,3,$783.18 ,$626.55 
,OTHER,,39,"$60,756.17 ","$48,604.91 "
,TOTAL,,42,"$61,539.35 ","$49,231.46 "
31382,80'S,,3,$867.34 ,$693.88 
,OTHER,,32,"$52,725.93 ","$42,171.71 "
,TOTAL,,35,"$53,593.27 ","$42,865.59 "
31390,80'S,,9,"$2,905.87 ","$2,324.70 "
,OTHER,,98,"$184,800.29 ","$147,840.19 "
,TOTAL,,107,"$187,706.16 ","$150,164.89 "
31395,80'S,,9,"$3,248.06 ","$2,598.47 "
,OTHER,,61,"$140,359.60 ","$110,349.94 "
,TOTAL,,70,"$143,607.66 ","$112,948.41 "
31400,80'S,,8,$871.00 ,$696.78 
,OTHER,,86,"$54,489.96 ","$43,497.18 "
,TOTAL,,94,"$55,360.96 ","$44,193.96 "
31420,80'S,,1,$62.40 ,$49.92 
,OTHER,,41,"$28,604.18 ","$22,635.61 "
,TOTAL,,42,"$28,666.58 ","$22,685.53 "
31500,OTHER,,"262,626","$30,250,239.04 ","$23,971,306.50 "
,TOTAL,,"262,626","$30,250,239.04 ","$23,971,306.50 "
31502,OTHER,,"17,346","$612,229.33 ","$477,314.09 "
,TOTAL,,"17,346","$612,229.33 ","$477,314.09 "
31505,OTHER,,"20,496","$1,547,545.97 ","$1,177,024.44 "
,TOTAL,,"20,496","$1,547,545.97 ","$1,177,024.44 "
31510,SG,,15,"$5,306.96 ","$4,146.37 "
,80'S,,1,$23.68 ,$18.94 
,OTHER,,140,"$15,877.66 ","$12,673.12 "
,TOTAL,,156,"$21,208.30 ","$16,838.43 "
31511,SG,,1,$425.93 ,$241.54 
,OTHER,,223,"$36,682.22 ","$28,830.07 "
,TOTAL,,224,"$37,108.15 ","$29,071.61 "
31512,SG,,8,"$3,342.21 ","$2,673.78 "
,OTHER,,35,"$4,766.01 ","$3,812.80 "
,TOTAL,,43,"$8,108.22 ","$6,486.58 "
31513,SG,,17,"$6,669.57 ","$5,323.86 "
,OTHER,,731,"$95,644.72 ","$73,331.80 "
,TOTAL,,748,"$102,314.29 ","$78,655.66 "
31515,SG,,36,"$9,956.60 ","$7,740.99 "
,OTHER,,"1,507","$178,020.67 ","$139,656.07 "
,TOTAL,,"1,543","$187,977.27 ","$147,397.06 "
31520,OTHER,,33,"$4,256.38 ","$3,405.13 "
,TOTAL,,33,"$4,256.38 ","$3,405.13 "
31525,SG,,406,"$109,234.97 ","$86,250.84 "
,OTHER,,"10,890","$2,004,567.50 ","$1,571,465.77 "
,TOTAL,,"11,296","$2,113,802.47 ","$1,657,716.61 "
31526,SG,,217,"$88,151.09 ","$68,885.35 "
,OTHER,,"1,570","$223,065.73 ","$175,663.18 "
,TOTAL,,"1,787","$311,216.82 ","$244,548.53 "
31527,OTHER,,24,"$4,259.65 ","$3,308.52 "
,TOTAL,,24,"$4,259.65 ","$3,308.52 "
31528,SG,,18,"$6,811.47 ","$5,449.18 "
,80'S,,1,$22.50 ,$18.00 
,OTHER,,200,"$23,488.07 ","$18,481.83 "
,TOTAL,,219,"$30,322.04 ","$23,949.01 "
31529,SG,,13,"$4,841.94 ","$3,873.55 "
,OTHER,,129,"$16,867.69 ","$13,066.19 "
,TOTAL,,142,"$21,709.63 ","$16,939.74 "
31530,SG,,19,"$7,470.35 ","$5,877.08 "
,OTHER,,401,"$80,196.24 ","$62,442.23 "
,TOTAL,,420,"$87,666.59 ","$68,319.31 "
31531,SG,,14,"$6,446.40 ","$5,097.58 "
,OTHER,,154,"$32,186.40 ","$25,536.14 "
,TOTAL,,168,"$38,632.80 ","$30,633.72 "
31535,SG,,"1,037","$435,208.58 ","$343,000.69 "
,OTHER,,"8,065","$1,435,851.62 ","$1,131,278.71 "
,TOTAL,,"9,102","$1,871,060.20 ","$1,474,279.40 "
31536,SG,,"1,391","$681,935.82 ","$537,550.86 "
,OTHER,,"7,482","$1,595,731.14 ","$1,254,293.39 "
,TOTAL,,"8,873","$2,277,666.96 ","$1,791,844.25 "
31540,SG,,269,"$134,857.58 ","$106,526.32 "
,OTHER,,"1,054","$259,032.19 ","$204,513.21 "
,TOTAL,,"1,323","$393,889.77 ","$311,039.53 "
31541,SG,,"1,573","$967,304.42 ","$761,275.03 "
,OTHER,,"10,381","$2,907,068.03 ","$2,282,976.25 "
,TOTAL,,"11,954","$3,874,372.45 ","$3,044,251.28 "
31545,SG,,86,"$52,263.24 ","$41,711.44 "
,OTHER,,677,"$253,439.22 ","$199,825.18 "
,TOTAL,,763,"$305,702.46 ","$241,536.62 "
31546,SG,,5,"$2,944.88 ","$2,355.91 "
,OTHER,,24,"$13,255.13 ","$10,059.06 "
,TOTAL,,29,"$16,200.01 ","$12,414.97 "
31560,SG,,3,"$2,088.85 ","$1,671.08 "
,OTHER,,35,"$10,232.23 ","$8,185.77 "
,TOTAL,,38,"$12,321.08 ","$9,856.85 "
31561,SG,,8,"$5,621.70 ","$4,497.36 "
,OTHER,,166,"$57,728.97 ","$45,638.65 "
,TOTAL,,174,"$63,350.67 ","$50,136.01 "
31570,SG,,64,"$26,263.34 ","$20,821.87 "
,OTHER,,"1,861","$589,578.94 ","$457,387.42 "
,TOTAL,,"1,925","$615,842.28 ","$478,209.29 "
31571,SG,,233,"$90,685.64 ","$71,471.86 "
,OTHER,,"2,003","$481,225.10 ","$379,980.27 "
,TOTAL,,"2,236","$571,910.74 ","$451,452.13 "
31575,OTHER,,"541,229","$60,850,964.42 ","$46,449,978.39 "
,TOTAL,,"541,229","$60,850,964.42 ","$46,449,978.39 "
31576,SG,,21,"$7,935.80 ","$6,261.02 "
,OTHER,,547,"$92,083.62 ","$72,255.89 "
,TOTAL,,568,"$100,019.42 ","$78,516.91 "
31577,SG,,1,$443.45 ,$354.76 
,OTHER,,167,"$36,178.88 ","$28,276.46 "
,TOTAL,,168,"$36,622.33 ","$28,631.22 "
31578,SG,,11,"$4,477.54 ","$3,355.25 "
,OTHER,,160,"$32,703.19 ","$26,051.30 "
,TOTAL,,171,"$37,180.73 ","$29,406.55 "
31579,OTHER,,"31,873","$7,317,073.93 ","$5,687,712.37 "
,TOTAL,,"31,873","$7,317,073.93 ","$5,687,712.37 "
31580,SG,,1,$755.58 ,$604.46 
,80'S,,2,$362.78 ,$290.22 
,OTHER,,82,"$43,609.31 ","$34,247.09 "
,TOTAL,,85,"$44,727.67 ","$35,141.77 "
31582,SG,,5,"$3,557.02 ","$2,746.43 "
,OTHER,,117,"$194,031.14 ","$152,678.14 "
,TOTAL,,122,"$197,588.16 ","$155,424.57 "
31584,80'S,,1,$221.54 ,$177.23 
,OTHER,,15,"$21,377.86 ","$17,003.08 "
,TOTAL,,16,"$21,599.40 ","$17,180.31 "
31587,80'S,,1,$154.46 ,$123.57 
,OTHER,,26,"$17,545.40 ","$12,654.76 "
,TOTAL,,27,"$17,699.86 ","$12,778.33 "
31588,SG,,90,"$63,705.89 ","$50,646.95 "
,80'S,,99,"$16,385.04 ","$13,107.95 "
,OTHER,,"1,204","$1,220,781.15 ","$963,699.89 "
,TOTAL,,"1,393","$1,300,872.08 ","$1,027,454.79 "
31590,SG,,1,$716.36 ,$573.09 
,80'S,,2,$190.45 ,$152.36 
,OTHER,,8,"$4,944.61 ","$3,954.71 "
,TOTAL,,11,"$5,851.42 ","$4,680.16 "
31595,SG,,1,$474.15 ,$379.32 
,OTHER,,30,"$16,840.22 ","$13,472.21 "
,TOTAL,,31,"$17,314.37 ","$13,851.53 "
31599,80'S,,5,$655.84 ,$524.67 
,OTHER,,606,"$245,949.22 ","$194,962.04 "
,TOTAL,,611,"$246,605.06 ","$195,486.71 "
31600,80'S,,3,$228.37 ,$182.69 
,OTHER,,"42,235","$17,212,134.43 ","$13,699,514.15 "
,TOTAL,,"42,238","$17,212,362.80 ","$13,699,696.84 "
31601,OTHER,,16,"$3,980.89 ","$3,184.71 "
,TOTAL,,16,"$3,980.89 ","$3,184.71 "
31603,SG,,3,$659.17 ,$527.34 
,80'S,,1,$43.20 ,$34.56 
,OTHER,,"2,238","$499,648.48 ","$396,692.56 "
,TOTAL,,"2,242","$500,350.85 ","$397,254.46 "
31605,OTHER,,379,"$70,416.23 ","$55,862.89 "
,TOTAL,,379,"$70,416.23 ","$55,862.89 "
31610,OTHER,,"1,800","$1,170,123.25 ","$930,556.58 "
,TOTAL,,"1,800","$1,170,123.25 ","$930,556.58 "
31611,SG,,50,"$24,556.72 ","$19,379.82 "
,80'S,,53,"$2,510.44 ","$2,008.31 "
,OTHER,,962,"$371,086.73 ","$294,519.52 "
,TOTAL,,"1,065","$398,153.89 ","$315,907.65 "
31612,SG,,7,"$2,319.69 ","$1,795.53 "
,OTHER,,264,"$11,878.72 ","$9,281.13 "
,TOTAL,,271,"$14,198.41 ","$11,076.66 "
31613,SG,,23,"$10,032.89 ","$7,695.48 "
,OTHER,,"1,178","$457,961.42 ","$363,343.48 "
,TOTAL,,"1,201","$467,994.31 ","$371,038.96 "
31614,SG,,16,"$6,860.84 ","$5,183.44 "
,OTHER,,397,"$231,291.52 ","$184,072.11 "
,TOTAL,,413,"$238,152.36 ","$189,255.55 "
31615,SG,,60,"$14,493.49 ","$11,591.76 "
,OTHER,,"9,570","$1,405,146.99 ","$1,098,288.14 "
,TOTAL,,"9,630","$1,419,640.48 ","$1,109,879.90 "
31620,OTHER,,"1,063","$83,972.15 ","$66,655.87 "
,TOTAL,,"1,063","$83,972.15 ","$66,655.87 "
