CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
,,80S,21,"$7,004.12","$5,603.28",
,,OTHER,33,"$72,696.73","$56,305.74",
,33413,TOTAL,N/A,"$13,263.94","$10,611.15",
,,80S,N/A,$881.55,$705.24,
,,OTHER,N/A,"$12,382.39","$9,905.91",
,33414,TOTAL,101,"$86,398.93","$69,119.18",
,,80S,34,"$6,162.09","$4,929.71",
,,OTHER,67,"$80,236.84","$64,189.47",
,33415,TOTAL,203,"$171,325.69","$135,396.63",
,,80S,60,"$11,318.09","$9,013.24",
,,OTHER,143,"$160,007.60","$126,383.39",
,33416,TOTAL,962,"$816,757.65","$647,028.66",
,,80S,336,"$58,398.35","$46,635.11",
,,OTHER,626,"$758,359.30","$600,393.55",
,33417,TOTAL,306,"$212,994.95","$169,053.22",
,,80S,86,"$11,363.96","$9,091.19",
,,OTHER,220,"$201,630.99","$159,962.03",
,33420,TOTAL,92,"$13,668.58","$10,704.28",
,,80S,N/A,$89.11,$71.29,
,,OTHER,91,"$13,579.47","$10,632.99",
,33422,TOTAL,102,"$68,463.18","$54,770.53",
,,80S,39,"$5,991.42","$4,793.11",
,,OTHER,63,"$62,471.76","$49,977.42",
,33425,TOTAL,901,"$1,497,351.54","$1,189,586.64",
,,80S,345,"$123,204.69","$98,180.86",
,,OTHER,556,"$1,374,146.85","$1,091,405.78",
,33426,TOTAL,"10,717","$15,355,475.85","$12,209,552.42",
,,80S,"4,287","$1,364,640.00","$1,086,384.30",
,,OTHER,"6,430","$13,990,835.85","$11,123,168.12",
,33427,TOTAL,"5,007","$8,224,988.95","$6,522,811.21",
,,80S,"1,914","$687,177.16","$546,636.73",
,,OTHER,"3,093","$7,537,811.79","$5,976,174.48",
,33430,TOTAL,"14,289","$24,982,237.55","$19,862,452.62",
,,80S,"5,600","$2,170,704.62","$1,728,962.64",
,,OTHER,"8,689","$22,811,532.93","$18,133,489.98",
,33460,TOTAL,44,"$44,196.69","$35,357.34",
,,80S,16,"$3,632.58","$2,906.05",
,,OTHER,28,"$40,564.11","$32,451.29",
,33463,TOTAL,"1,054","$1,960,579.19","$1,563,213.10",
,,80S,401,"$160,334.35","$127,483.76",
,,OTHER,653,"$1,800,244.84","$1,435,729.34",
,33464,TOTAL,"4,753","$4,581,819.39","$3,640,597.38",
,,80S,"1,806","$379,031.59","$302,087.38",
,,OTHER,"2,947","$4,202,787.80","$3,338,510.00",
,33465,TOTAL,549,"$841,270.27","$667,753.07",
,,80S,185,"$57,422.56","$45,782.63",
,,OTHER,364,"$783,847.71","$621,970.44",
,33468,TOTAL,24,"$16,571.48","$13,257.14",
,,80S,N/A,"$1,527.70","$1,222.16",
,,OTHER,14,"$15,043.78","$12,034.98",
,33470,TOTAL,N/A,$5.00,$0.00,
,,OTHER,N/A,$5.00,$0.00,
,33472,TOTAL,N/A,$711.18,$568.94,
,,80S,N/A,$98.10,$78.48,
,,OTHER,N/A,$613.08,$490.46,
,33474,TOTAL,N/A,"$7,196.28","$5,757.02",
,,80S,N/A,$290.48,$232.38,
,,OTHER,N/A,"$6,905.80","$5,524.64",
,33475,TOTAL,115,"$162,036.10","$129,532.86",
,,80S,30,"$7,948.60","$6,358.86",
,,OTHER,85,"$154,087.50","$123,174.00",
,33476,TOTAL,N/A,"$3,806.00","$3,044.68",
,,80S,N/A,$212.22,$169.65,
,,OTHER,N/A,"$3,593.78","$2,875.03",
,33478,TOTAL,29,"$18,845.82","$15,076.65",
,,80S,N/A,$711.67,$569.34,
,,OTHER,23,"$18,134.15","$14,507.31",
,33496,TOTAL,129,"$102,079.15","$80,985.52",
,,80S,53,"$9,780.99","$7,814.66",
,,OTHER,76,"$92,298.16","$73,170.86",
,33500,TOTAL,59,"$34,061.52","$27,249.23",
,,80S,21,"$2,641.66","$2,113.33",
,,OTHER,38,"$31,419.86","$25,135.90",
,33501,TOTAL,30,"$20,937.01","$16,606.61",
,,80S,N/A,"$1,248.81",$891.06,
,,OTHER,22,"$19,688.20","$15,715.55",
,33502,TOTAL,95,"$42,811.04","$33,711.88",
,,80S,36,"$3,638.07","$2,910.48",
,,OTHER,59,"$39,172.97","$30,801.40",
