Medicare Part Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Ranges 30000 - 32999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
31529,SG,,3,"$1,112",$889
,OTHER,,75,"$9,978","$7,793"
,TOTAL,,78,"$11,089","$8,682"
31530,SG,,6,"$2,485","$1,988"
,OTHER,,396,"$88,833","$70,128"
,TOTAL,,402,"$91,318","$72,115"
31531,SG,,8,"$3,813","$3,051"
,OTHER,,182,"$44,102","$34,842"
,TOTAL,,190,"$47,916","$37,893"
31535,SG,,491,"$195,054","$154,560"
,80'S,,2,$60,$48
,OTHER,,"7,892","$1,564,404","$1,236,127"
,TOTAL,,"8,385","$1,759,518","$1,390,736"
31536,SG,,623,"$292,404","$232,691"
,80'S,,1,$21,$17
,OTHER,,"7,488","$1,859,774","$1,469,026"
,TOTAL,,"8,112","$2,152,199","$1,701,734"
31540,SG,,127,"$59,341","$47,283"
,OTHER,,"1,449","$416,150","$329,080"
,TOTAL,,"1,576","$475,491","$376,363"
31541,SG,,749,"$435,717","$344,973"
,80'S,,1,$27,$21
,OTHER,,"10,182","$3,178,773","$2,513,266"
,TOTAL,,"10,932","$3,614,516","$2,858,261"
31560,SG,,2,"$1,320","$1,056"
,OTHER,,37,"$12,922","$10,222"
,TOTAL,,39,"$14,242","$11,278"
31561,SG,,4,"$2,683","$2,146"
,OTHER,,267,"$83,823","$66,034"
,TOTAL,,271,"$86,506","$68,180"
31570,SG,,31,"$13,119","$10,495"
,OTHER,,"2,062","$543,582","$422,950"
,TOTAL,,"2,093","$556,700","$433,445"
31571,SG,,35,"$11,618","$9,294"
,OTHER,,744,"$176,840","$139,825"
,TOTAL,,779,"$188,458","$149,119"
31575,OTHER,,"344,183","$34,859,829","$26,552,927"
,TOTAL,,"344,183","$34,859,829","$26,552,927"
31576,SG,,8,"$3,041","$2,433"
,OTHER,,396,"$58,296","$45,953"
,TOTAL,,404,"$61,336","$48,385"
31577,SG,,2,$794,$555
,OTHER,,162,"$30,281","$23,671"
,TOTAL,,164,"$31,075","$24,226"
31578,SG,,7,"$2,586","$2,037"
,80'S,,1,$31,$25
,OTHER,,74,"$14,491","$11,399"
,TOTAL,,82,"$17,108","$13,461"
31579,OTHER,,"10,933","$1,892,507","$1,466,954"
,TOTAL,,"10,933","$1,892,507","$1,466,954"
31580,80'S,,2,$284,$227
,OTHER,,52,"$41,852","$33,025"
,TOTAL,,54,"$42,136","$33,252"
31582,SG,,1,$649,$519
,OTHER,,123,"$169,788","$135,831"
,TOTAL,,124,"$170,437","$136,350"
31584,80'S,,5,"$1,065",$852
,OTHER,,18,"$22,880","$17,553"
,TOTAL,,23,"$23,945","$18,405"
31585,OTHER,,6,"$1,653","$1,281"
,TOTAL,,6,"$1,653","$1,281"
31586,OTHER,,5,"$2,945","$2,356"
,TOTAL,,5,"$2,945","$2,356"
31587,80'S,,3,$331,$265
,OTHER,,42,"$33,896","$27,038"
,TOTAL,,45,"$34,227","$27,303"
31588,SG,,20,"$13,271","$10,617"
,80'S,,106,"$16,350","$13,000"
,OTHER,,"1,155","$1,094,208","$869,425"
,TOTAL,,"1,281","$1,123,829","$893,042"
31590,SG,,1,$685,$548
,80'S,,4,$207,$166
,OTHER,,19,"$8,116","$6,169"
,TOTAL,,24,"$9,008","$6,883"
31595,80'S,,1,$115,$92
,OTHER,,18,"$7,306","$5,845"
,TOTAL,,19,"$7,421","$5,937"
31599,80'S,,7,$844,$675
,OTHER,,600,"$172,280","$136,707"
,TOTAL,,607,"$173,124","$137,382"
31600,SG,,2,$810,$648
,80'S,,88,"$3,889","$3,111"
,OTHER,,"39,204","$9,204,239","$7,315,608"
,TOTAL,,"39,294","$9,208,938","$7,319,367"
31601,OTHER,,35,"$10,278","$8,143"
,TOTAL,,35,"$10,278","$8,143"
31603,80'S,,7,$310,$248
,OTHER,,"2,792","$751,646","$597,442"
,TOTAL,,"2,799","$751,956","$597,690"
31605,80'S,,1,$41,$33
,OTHER,,477,"$110,386","$87,153"
,TOTAL,,478,"$110,427","$87,186"
31610,80'S,,4,$463,$371
,OTHER,,"1,421","$881,309","$700,418"
,TOTAL,,"1,425","$881,772","$700,788"
31611,SG,,36,"$16,919","$13,399"
,80'S,,66,"$3,234","$2,572"
,OTHER,,"1,037","$407,117","$320,877"
,TOTAL,,"1,139","$427,269","$336,847"
31612,SG,,6,"$1,838","$1,390"
,OTHER,,229,"$13,984","$10,909"
,TOTAL,,235,"$15,822","$12,299"
31613,SG,,20,"$8,156","$6,206"
,80'S,,2,$150,$120
,OTHER,,"1,053","$354,370","$281,027"
,TOTAL,,"1,075","$362,676","$287,353"
31614,SG,,12,"$4,814","$3,851"
,OTHER,,414,"$230,457","$182,227"
,TOTAL,,426,"$235,271","$186,078"
31615,SG,,6,"$1,567","$1,253"
,OTHER,,"4,658","$677,549","$529,508"
,TOTAL,,"4,664","$679,116","$530,761"
31622,SG,,920,"$257,348","$202,549"
,80'S,,4,$79,$63
,OTHER,,"98,815","$16,593,382","$13,156,813"
,TOTAL,,"99,739","$16,850,809","$13,359,425"
31623,OTHER,,"20,408","$2,803,445","$2,223,811"
,TOTAL,,"20,408","$2,803,445","$2,223,811"
31624,80'S,,1,$92,$74
,OTHER,,"24,636","$3,734,876","$2,963,438"
,TOTAL,,"24,637","$3,734,969","$2,963,512"
31625,SG,,580,"$236,136","$187,490"
,OTHER,,"45,522","$9,632,521","$7,643,527"
,TOTAL,,"46,102","$9,868,657","$7,831,018"
31628,SG,,404,"$163,300","$128,687"
,OTHER,,"45,977","$11,156,239","$8,848,992"
,TOTAL,,"46,381","$11,319,540","$8,977,679"
31629,SG,,56,"$21,986","$17,589"
,OTHER,,"7,315","$1,375,771","$1,090,965"
,TOTAL,,"7,371","$1,397,756","$1,108,553"
31630,SG,,1,$386,$308
,OTHER,,568,"$124,240","$98,227"
,TOTAL,,569,"$124,626","$98,535"
31631,SG,,1,$409,$327
,OTHER,,983,"$236,337","$186,780"
,TOTAL,,984,"$236,746","$187,107"
31635,SG,,2,$839,$672
,OTHER,,"1,525","$350,498","$277,202"
,TOTAL,,"1,527","$351,337","$277,873"
31640,SG,,5,"$1,529","$1,223"
,OTHER,,362,"$107,299","$85,410"
,TOTAL,,367,"$108,828","$86,633"
31641,OTHER,,"2,922","$959,268","$759,531"
,TOTAL,,"2,922","$959,268","$759,531"
31643,OTHER,,"1,446","$298,902","$238,018"
,TOTAL,,"1,446","$298,902","$238,018"
31645,SG,,32,"$7,963","$6,211"
,80'S,,3,$54,$43
